student_id,question_id,knowledge,answer
253,53,38,1
1292,47,69,1
1073,40,42,1
1321,19,45,0
585,35,44,1
997,70,7,0
451,117,64,1
1304,92,5,0
241,30,59,0
897,61,20,0
746,110,77,0
775,75,32,0
258,81,67,0
111,68,45,0
44,118,61,1
397,53,15,0
372,120,37,1
1356,52,13,1
825,26,69,1
754,67,80,1
564,6,37,1
564,94,72,0
1102,120,76,0
889,69,11,0
1293,32,38,1
481,17,17,1
137,79,37,1
604,114,14,0
539,7,84,1
382,48,23,1
949,13,4,0
874,98,47,0
112,76,83,1
683,94,15,1
61,107,16,1
1346,83,78,1
995,63,55,1
472,84,60,1
1229,69,83,0
137,40,68,0
1246,19,39,1
966,83,25,1
983,20,21,0
557,59,52,0
1286,52,6,0
97,38,18,0
655,18,31,1
638,6,85,1
1357,79,19,0
292,91,32,0
511,8,34,1
1173,93,9,0
649,25,18,1
498,97,72,1
30,110,56,1
1267,7,71,1
1189,8,76,0
617,68,22,1
1394,72,57,0
452,100,78,1
88,31,44,1
632,33,61,1
1082,90,39,0
1167,7,4,0
854,80,30,0
144,18,73,1
1140,42,44,1
1266,43,72,0
209,60,84,1
173,21,20,1
829,19,31,1
482,37,18,1
202,29,66,1
1253,39,54,0
890,120,6,0
100,107,30,0
183,64,25,0
248,46,89,1
339,51,87,0
611,91,42,0
953,96,40,0
1219,38,2,0
971,7,90,0
1245,3,46,1
1222,41,65,1
1310,109,24,0
912,23,32,0
1335,114,32,0
1188,65,30,1
972,109,20,0
894,12,68,1
751,10,16,0
489,16,46,1
405,56,18,0
1050,104,20,1
1263,117,11,0
13,35,76,1
720,113,5,1
909,16,69,0
846,118,57,0
601,76,12,0
254,39,34,1
750,93,37,1
761,37,26,0
684,71,24,0
878,99,59,1
1328,77,20,0
15,113,61,0
1266,21,18,1
1025,106,52,1
91,79,55,0
1016,88,35,0
710,119,50,1
1351,91,33,0
1328,119,88,1
1103,69,5,1
1322,40,87,0
60,37,80,1
297,89,24,0
338,21,22,0
532,22,43,1
981,27,83,0
1186,16,67,0
279,41,16,1
952,118,84,1
1274,106,19,1
1054,120,84,1
879,61,54,0
444,35,68,0
1182,105,61,0
712,37,20,1
159,52,27,0
648,19,43,1
12,64,63,0
840,3,3,0
1384,25,29,0
1358,41,45,1
915,105,82,1
21,62,90,1
828,80,26,1
301,27,63,0
201,50,22,0
1395,11,38,1
1227,53,90,0
336,58,88,0
629,71,17,1
1159,2,6,0
1307,93,33,1
724,12,55,1
1233,100,36,0
145,41,51,1
315,90,49,0
958,89,5,1
580,28,33,0
956,73,50,1
528,64,87,1
482,6,85,1
795,11,73,1
161,12,84,1
161,118,1,1
325,72,79,1
20,5,86,0
801,76,63,1
1106,29,3,0
1136,74,36,0
326,111,39,1
993,57,24,0
94,7,61,0
1369,70,57,1
853,66,58,1
146,10,24,1
163,76,15,0
363,95,60,1
768,71,5,0
106,61,76,0
637,65,44,0
196,107,58,0
1070,118,4,1
978,69,29,1
90,106,63,1
638,80,25,1
355,28,87,0
998,115,20,0
208,55,50,0
391,101,85,1
1132,104,56,1
187,55,16,1
403,97,80,0
1313,85,65,0
456,16,1,0
141,45,5,0
1018,31,84,0
1079,18,24,1
51,105,36,0
471,59,37,0
448,76,41,1
539,11,55,1
717,88,78,0
160,106,13,1
342,6,71,1
550,81,12,1
849,2,51,1
1136,89,88,1
335,62,50,0
428,76,40,1
1274,89,24,1
1251,100,63,1
1090,92,42,0
834,93,6,0
710,58,8,1
1112,53,60,1
869,23,71,0
32,118,23,0
875,67,84,1
920,58,55,0
395,98,85,0
1139,78,23,0
488,61,20,1
1325,10,72,1
1063,105,37,1
230,58,52,0
110,76,21,1
234,86,46,0
1378,21,16,1
1175,50,83,1
290,40,77,0
587,71,52,0
1346,13,72,1
